"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"001201.SZ","1201.0","东瑞股份","20210414.0","20210428","3167.0","2850.0","63.38","11.78","1.25","20.072","0.02"
"001202.SZ","1202.0","炬申股份","20210419.0","20210429","3224.0","2902.0","15.09","22.99","1.25","4.865","0.02"
"001203.SZ","1203.0","大中矿业","20210420.0","20210510","21894.0","19705.0","8.98","22.99","6.55","19.661","0.07"
"001205.SZ","1205.0","盛航股份","20210428.0","20210513","3007.0","2706.0","16.52","17.78","1.2","4.967","0.02"
"001206.SZ","1206.0","依依股份","20210506.0","20210518","2358.0","2123.0","44.6","22.99","0.9","10.518","0.02"
"001207.SZ","1207.0","联科科技","20210609.0","20210623","4550.0","4095.0","14.27","22.99","1.8","6.493","0.02"
"001208.SZ","1208.0","华菱线缆","20210610.0","20210624","13361.0","12025.0","3.67","22.98","4.0","4.903","0.05"
"001209.SZ","1209.0","洪兴股份","20210708.0","20210723","2349.0","2114.0","29.88","21.7","0.9","7.018","0.02"
"001210.SZ","1210.0","金房能源","20210716.0","20210729","2269.0","2042.0","28.01","22.99","0.9","6.355","0.02"
"001211.SZ","1211.0","双枪科技","20210726.0","20210805","1800.0","1800.0","26.4","22.99","1.8","4.752","0.01"
"001212.SZ","1212.0","中旗新材","20210812.0","20210823","2267.0","2040.0","31.67","22.99","0.9","7.18","0.02"
"001213.SZ","1213.0","中铁特货","20210827.0","20210908","44444.0","40000.0","3.96","50.69","13.3","17.6","0.1"
"001215.SZ","1215.0","千味央厨","20210826.0","20210906","2128.0","1915.0","15.71","22.99","0.85","3.343","0.02"
"001216.SZ","1216.0","华瓷股份","20211008.0","20211019","6297.0","5667.0","9.37","22.99","2.5","5.9","0.03"
"001217.SZ","1217.0","华尔泰","20210916.0","20210929","8297.0","7467.0","10.46","22.98","3.3","8.679","0.03"
"001218.SZ","1218.0","丽臣实业","20210924.0","20211015","2250.0","2025.0","45.51","21.31","0.9","10.24","0.02"
"001219.SZ","1219.0","青岛食品","20210930.0","20211021","2220.0","1998.0","17.2","22.99","0.85","3.818","0.02"
"001221.SZ","1221.0","悍高集团","20250721.0","20250730","4001.0","2521.0","15.43","11.86","1.05","6.174","0.02"
"001222.SZ","1222.0","源飞宠物","20220803.0","20220818","3410.0","3069.0","13.71","14.73","1.35","4.675","0.03"
"001223.SZ","1223.0","欧克科技","20221201.0","20221212","1668.0","1668.0","65.58","22.99","1.65","10.939","0.01"
"001225.SZ","1225.0","和泰机电","20230208.0","20230222","1617.0","1617.0","46.81","22.99","1.6","7.568","0.01"
"001226.SZ","1226.0","拓山重工","20220613.0","20220622","1867.0","1867.0","24.66","22.99","1.85","4.603","0.01"
"001227.SZ","1227.0","兰州银行","20220105.0","20220117","56957.0","51261.0","3.57","22.97","17.05","20.334","0.14"
"001228.SZ","1228.0","永泰运","20220420.0","20220429","2597.0","2337.0","30.46","19.88","1.0","7.91","0.03"
"001229.SZ","1229.0","魅视科技","20220728.0","20220808","2500.0","2250.0","21.71","22.99","1.0","5.428","0.02"
"001230.SZ","1230.0","劲旅环境","20220705.0","20220715","2785.0","2506.0","34.51","22.99","1.1","9.61","0.03"
"001231.SZ","1231.0","农心科技","20220809.0","20220819","2500.0","2250.0","17.77","22.99","1.0","4.442","0.02"
"001234.SZ","1234.0","泰慕士","20211229.0","20220111","2667.0","2400.0","16.53","22.99","1.05","4.408","0.02"
"001236.SZ","1236.0","弘业期货","20220727.0","20220805","10078.0","9070.0","1.86","23.9","3.0","1.874","0.05"
"001238.SZ","1238.0","浙江正特","20220907.0","20220919","2750.0","2475.0","16.05","22.98","1.1","4.414","0.02"
"001239.SZ","1239.0","永达股份","20231130.0","20231212","6000.0","3872.0","12.05","35.64","1.9","7.23","0.04"
"001255.SZ","1255.0","博菲电气","20220920.0","20220930","2000.0","2000.0","19.77","22.99","2.0","3.954","0.01"
"001256.SZ","1256.0","炜冈科技","20221122.0","20221205","3565.0","3209.0","13.64","22.99","1.4","4.863","0.03"
"001258.SZ","1258.0","立新能源","20220713.0","20220727","23333.0","21000.0","3.38","22.4","7.0","7.887","0.08"
"001259.SZ","1259.0","利仁科技","20220817.0","20220831","1848.0","1848.0","19.75","22.99","1.8","3.651","0.01"
"001260.SZ","1260.0","坤泰股份","20230207.0","20230216","2875.0","2588.0","14.27","22.98","1.15","4.103","0.03"
"001266.SZ","1266.0","宏英智能","20220217.0","20220228","1836.0","1652.0","38.61","22.99","0.7","7.089","0.02"
"001268.SZ","1268.0","联合精密","20220621.0","20220630","2698.0","2429.0","19.25","22.99","1.05","5.194","0.02"
"001269.SZ","1269.0","欧晶科技","20220921.0","20220930","3436.0","3092.0","15.65","17.03","1.35","5.377","0.03"
"001270.SZ","1270.0","铖昌科技","20220524.0","20220606","2795.0","2516.0","21.68","22.99","1.1","6.06","0.03"
"001277.SZ","1277.0","速达股份","20240823.0","20240903","1900.0","1900.0","32.0","15.05","1.9","6.08","0.02"
"001278.SZ","1278.0","一彬科技","20230221.0","20230308","3093.0","2784.0","17.0","22.98","1.2","5.259","0.03"
"001279.SZ","1279.0","强邦新材","20240925.0","20241011","4000.0","2945.0","9.68","17.54","1.4","3.872","0.04"
"001282.SZ","1282.0","三联锻造","20230511.0","20230524","2838.0","2270.0","27.93","37.73","1.1","7.927","0.03"
